"MapID","Area Name","White alone persons","Black or African-American alone persons","Native American alone persons","Asian alone persons","Pacific Islander alone persons","Other race alone persons","Persons of two or more race","Persons under 5 years","Persons 5-9 years","Persons 10-14 years","Persons 15-17 years","Persons 18 and 19 years","Persons 20 years","Persons 21 years","Persons 22-24 years","Persons 25-29 years","Persons 30-34 years","Persons 35-39 years","Persons 40-44 years","Persons 45-49 years","Persons 50-54 years","Persons 55-59 years","Persons 60 and 61 years","Persons 62-64 years","Persons 65 and 66 years","Persons 67-69 years","Persons 70-74 years","Persons 75-79 years","Persons 80-84 years","Persons 85 years and over"
11220,"11220 - Sunset Park",27553,2624,532,41691,15,27201,2716,8378,7636,6317,3082,2449,1207,1375,4127,10735,8988,8682,7494,6437,6426,5061,2165,2406,1402,1911,1958,1584,1440,1072
11221,"11221 - Bushwick/Bedford-Stuyvesant",23962,44274,736,3060,5,8157,2435,5828,4667,4810,3177,2165,1489,1452,5509,9603,7164,5821,4670,5345,5002,4444,1431,1896,1375,1571,1854,1441,1022,893
11222,"11222 - Greenpoint",30350,1240,138,2249,9,1849,1370,1493,1042,1003,577,478,368,300,1559,6211,6237,3914,2525,2213,1860,2108,667,1134,681,654,686,467,493,534
11223,"11223 - Gravesend/Homecrest",50747,3289,380,17753,165,5342,1546,6683,5039,4386,3236,1721,1041,777,3262,6878,5529,4925,4924,4677,4859,4889,1970,2309,1687,1964,2636,2473,1471,1885
11224,"11224 - Coney Island",22738,9534,91,3198,18,3793,1182,2132,2333,2108,1351,883,499,675,1292,2713,1809,2344,2197,2079,2687,2710,1340,1830,1229,1534,1787,2051,1416,1559
11225,"11225 - Crown Heights",13739,41687,167,1425,82,2775,1188,4157,3225,3555,1939,1083,841,767,3190,6381,6013,4490,3702,3437,3754,3603,1404,2130,1103,1493,1897,1036,1036,826
11226,"11226 - Flatbush",13014,70178,150,3833,11,10782,3312,7152,6373,6317,3869,2187,1400,1508,4682,9761,8672,7494,6815,6143,6335,5580,2495,3245,1967,2196,2595,1838,1458,1199
11228,"11228 - Dyker Heights",26435,384,123,16174,33,2045,373,3138,2491,2431,1735,1022,419,564,1600,3150,3507,3116,3308,3207,3096,2982,1112,1667,931,1141,1515,1113,1151,1169
11229,"11229 - Homecrest/Madison",56201,4244,32,16080,106,3344,1565,5116,4618,4715,2847,1616,1018,967,3191,5572,5201,5287,4850,5435,5528,6271,2146,3528,2022,2247,3112,2512,1564,2211
11230,"11230 - Midwood",59982,7144,472,11704,0,5452,1593,7708,6834,6132,3610,1894,1269,1354,3716,6369,5630,4989,4960,4564,4930,5100,1988,2866,1892,2050,2504,2071,1662,2254
11231,"11231 - Carroll Gardens/Red Hook",25262,4926,132,2015,0,3516,1950,2948,2218,1569,995,546,234,225,1041,2876,5048,3944,3141,2855,1979,2340,860,1043,478,617,1103,593,638,510
11232,"11232 - Industry City/Sunset Park",11168,1414,305,6166,32,9900,1488,1818,2216,1498,923,581,394,449,1691,3519,3351,2689,2158,2295,1874,1280,518,750,475,379,712,409,295,200
11233,"11233 - Stuyvesant Heights",4811,55547,188,1249,0,6293,1488,5338,4906,4594,2857,1528,1110,1223,3718,5790,5483,4884,4569,4700,4801,3564,1128,1771,1122,1501,1912,1352,844,879
11234,"11234 - Flatlands/Mill Basin",41596,45754,75,5143,11,3413,1364,5547,6133,6730,3788,2289,1335,1023,3818,6292,6355,5698,6248,6734,6855,7060,2573,4203,2371,2641,3498,2461,1591,2112
11235,"11235 - Sheepshead Bay/Brighton Beach",63884,2354,308,12105,43,2632,1821,4741,4354,3617,2251,1336,746,816,2767,5401,5615,5135,5383,5339,6058,5491,2217,3598,2444,3043,3206,3697,2613,3278
11236,"11236 - Canarsie",5458,86163,454,2665,0,3003,1095,5697,5564,6600,4090,2732,1675,1583,4543,7340,6540,5906,6719,6832,7545,7279,2567,3725,1978,2311,2902,1829,1414,1468
11237,"11237 - Bushwick",27032,9494,372,3878,0,9519,1632,3404,3065,3351,1880,1237,793,915,4099,7061,5754,4498,3568,2956,2631,2085,744,698,558,579,873,497,355,325
11238,"11238 - Prospect Heights",23946,22562,89,3470,14,2647,3022,3363,2351,2033,1084,619,566,605,2600,7187,7549,5544,4355,3383,2615,3104,1099,1680,1076,1150,1402,783,750,848
11239,"11239 - Starrett City",3821,7388,165,326,0,389,299,583,589,664,377,193,284,119,267,812,632,681,593,538,946,711,265,527,464,412,807,763,552,609
11354,"11354 - Flushing",12968,1981,119,34804,38,5582,1867,2839,2523,2479,1343,725,574,451,2531,4754,4282,3749,3691,3972,5117,4861,1467,2364,1277,1546,1886,1804,1235,1889
11355,"11355 - Flushing/Murray Hill",10330,2762,302,58779,49,6325,2086,3833,3796,3419,2306,1352,942,773,3427,6946,5146,5650,5712,6800,6747,5790,2013,2926,1634,2255,2859,2386,1991,1929
11356,"11356 - College Point",9197,589,184,7905,29,6321,863,1859,1576,1300,1030,594,421,259,1088,1698,2024,1490,1621,1793,1864,1532,720,874,621,383,843,570,469,459
