MapID,Area Name,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
10310,10310 - West New Brighton,3723,1408,48,71,12,8,2,27,2,1,16,150,0,1,2,3,1,0,70,0,2,47,0,30,2,72,5,17,7,119,7,7,173,11,8,2,1,27
10312,10312 - Eltingville/Annadale,13319,3903,24,12,2,2,0,1,0,0,0,54,0,0,1,0,0,0,44,0,11,25,0,20,3,77,6,337,14,74,0,27,854,15,15,0,0,16
10314,10314 - Castleton Corners/New Springvill,12445,6308,104,21,9,11,2,63,4,0,3,95,6,2,1,9,3,0,153,5,26,39,0,44,3,127,9,71,67,125,3,19,530,29,29,0,0,17
10451,10451 - Melrose,48,67,194,16,94,0,86,61,17,3,22,105,2,1,3,0,1,1,64,0,3,33,2,29,0,43,2,20,10,71,4,26,137,28,9,26,16,17
10452,10452 - Highbridge,74,224,188,24,216,1,219,14,2,0,2,143,2,1,7,1,0,0,96,0,0,12,0,32,5,7,5,54,3,28,0,8,118,21,7,0,24,14
10453,10453 - Morris Heights,161,691,249,54,222,15,235,10,0,0,2,85,0,1,4,2,0,0,93,0,0,12,0,27,7,14,8,43,3,36,0,4,66,29,6,2,16,7
10454,10454 - Mott Haven/Port Morris,218,360,143,14,198,7,73,96,28,3,55,127,1,1,2,0,1,0,46,1,0,19,1,32,4,15,3,24,3,53,5,26,91,17,4,27,3,36
10455,10455 - The Hub/Longwood,140,387,322,38,187,5,74,49,3,0,12,122,1,0,2,0,2,0,90,3,0,39,2,30,15,27,2,22,8,43,0,9,79,17,6,36,13,7
10456,10456 - Morrisania,292,548,551,79,422,4,144,33,8,2,11,164,0,2,7,4,0,0,75,0,0,12,2,79,17,5,10,43,13,83,0,4,185,27,4,18,27,22
10457,10457 - Tremont/East Tremont,328,671,497,50,323,6,168,60,20,6,21,208,4,5,7,4,2,0,98,0,0,34,1,78,14,20,6,38,3,88,0,10,157,37,13,7,41,35
10458,10458 - Belmont/Fordham/Bedford Park,230,602,391,73,574,5,170,14,5,2,1,132,3,1,2,2,2,0,126,3,0,52,0,41,10,24,5,23,4,135,0,8,67,21,8,5,28,9
10459,10459 - Longwood/Morrisania,350,680,449,91,208,15,102,20,6,1,3,107,4,0,7,2,1,1,75,0,0,17,0,61,13,4,6,30,15,81,0,3,134,18,4,59,27,9
10460,10460 - West Farms/Crotona,237,877,562,130,240,15,131,28,18,1,6,134,1,0,1,3,1,0,72,0,2,18,1,37,10,14,7,46,4,64,0,15,149,20,8,2,25,14
10461,10461 - Westchester/Morris Park,2181,2741,909,277,128,11,54,52,20,8,15,219,1,7,4,4,6,0,157,0,0,61,0,23,6,110,11,11,7,192,0,22,223,21,6,1,8,15
10462,10462 - Parkchester/Van Nest,687,1984,693,175,128,5,73,33,9,4,1,154,0,0,1,2,2,0,142,0,0,30,0,37,3,40,11,13,8,193,0,16,161,19,15,0,25,13
10463,10463 - Kingsbridge (full),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10464,10464 - City Island,808,253,38,19,6,0,2,8,1,2,1,27,0,0,0,0,0,0,27,0,0,12,0,7,1,7,6,19,5,46,4,1,146,2,4,0,4,24
10465,10465 - Throgs Neck/Country Club,3830,2890,544,83,7,1,8,16,2,0,0,83,1,0,1,1,1,1,61,0,1,17,0,16,4,38,17,24,26,57,0,3,338,12,20,0,2,51
10466,10466 - Wakefield,2773,3806,1233,245,128,3,40,34,12,2,8,174,2,1,3,2,0,0,130,0,1,25,0,45,8,29,6,8,1,104,0,8,325,20,13,1,4,20
10467,10467 - Norwood/Williamsbridge,578,1682,728,236,317,3,234,14,1,1,1,99,2,15,14,8,10,0,167,0,0,38,0,57,7,43,6,15,9,174,0,6,138,29,7,1,29,12
