MapID.x,Area Name,White alone persons,Black or African-American alone persons,Native American alone persons,Asian alone persons,Pacific Islander alone persons,Other race alone persons,Persons of two or more race,Persons under 5 years,Persons 5-9 years,Persons 10-14 years,Persons 15-17 years,Persons 18 and 19 years,Persons 20 years,Persons 21 years,Persons 22-24 years,Persons 25-29 years,Persons 30-34 years,Persons 35-39 years,Persons 40-44 years,Persons 45-49 years,Persons 50-54 years,Persons 55-59 years,Persons 60 and 61 years,Persons 62-64 years,Persons 65 and 66 years,Persons 67-69 years,Persons 70-74 years,Persons 75-79 years,Persons 80-84 years,Persons 85 years and over,MapID.y,Male age at death under 28 days - 2011-13 Avg,Male age at death 1-12 months - 2011-13 Avg,Male age at death 1-4 years - 2011-13 Avg,Male age at death 5-9 years - 2011-13 Avg,Male age at death 10-14 years - 2011-13 Avg,Male age at death 15-19 years - 2011-13 Avg,Male age at death 20-24 years - 2011-13 Avg,Male age at death 25-29 years - 2011-13 Avg,Male age at death 30-34 years - 2011-13 Avg,Male age at death 35-39 years - 2011-13 Avg,Male age at death 40-44 years - 2011-13 Avg,Male age at death 45-49 years - 2011-13 Avg,Male age at death 50-54 years - 2011-13 Avg,Male age at death 55-59 years - 2011-13 Avg,Male age at death 60-64 years - 2011-13 Avg,Male age at death 65-69 years - 2011-13 Avg,Male age at death 70-74 years - 2011-13 Avg,Male age at death 75-79 years - 2011-13 Avg,Male age at death 80-84 years - 2011-13 Avg,Male age at death 85+ years - 2011-13 Avg,Female age at death under 28 days - 2011-13 Avg,Female age at death 1-12 months - 2011-13 Avg,Female age at death 1-4 years - 2011-13 Avg,Female age at death 5-9 years - 2011-13 Avg,Female age at death 10-14 years - 2011-13 Avg,Female age at death 15-19 years - 2011-13 Avg,Female age at death 20-24 years - 2011-13 Avg,Female age at death 25-29 years - 2011-13 Avg,Female age at death 30-34 years - 2011-13 Avg,Female age at death 35-39 years - 2011-13 Avg,Female age at death 40-44 years - 2011-13 Avg,Female age at death 45-49 years - 2011-13 Avg,Female age at death 50-54 years - 2011-13 Avg,Female age at death 55-59 years - 2011-13 Avg,Female age at death 60-64 years - 2011-13 Avg,Female age at death 65-69 years - 2011-13 Avg,Female age at death 70-74 years - 2011-13 Avg,Female age at death 75-79 years - 2011-13 Avg,Female age at death 80-84 years - 2011-13 Avg,Female age at death 85+ years - 2011-13 Avg,MapID,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous
10005,10005 - Wall Street,5625,177,1,1696,0,198,138,300,285,107,104,127,60,189,806,2213,1109,1158,497,227,211,196,7,70,46,0,81,39,0,1,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10005,0,0,0,0,0,2,8,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,0,1,0,33,1,0,13,3,4,0,1,0,1,0,1,1
10006,10006 - Trinity,2018,79,0,621,0,80,151,209,30,52,47,0,0,14,348,640,677,285,195,184,64,144,27,21,0,0,11,0,0,0,10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10006,0,0,0,0,3,0,7,0,0,0,0,1,3,0,0,0,0,0,1,0,0,10,0,1,0,14,1,0,8,2,1,0,6,2,1,0,0,4
10007,10007 - City Hall,5602,228,2,1399,0,45,353,580,573,261,203,78,97,90,143,583,1131,653,854,691,379,340,269,192,54,154,72,97,75,57,10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10007,0,1,1,1,4,0,17,0,0,0,0,3,3,0,1,0,0,0,6,1,0,17,16,4,0,51,1,4,60,13,1,3,3,3,2,0,12,4
10009,10009 - East Village/Stuyvesant Town,36272,5113,88,8155,67,8613,2020,1592,1819,1725,1327,703,722,1179,3983,9144,6892,4291,3629,3833,3647,3877,1516,1990,1249,1292,2379,1303,1125,1112,10009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10009,7,10,11,33,339,10,140,9,0,1,1,13,0,0,5,2,0,2,23,0,0,21,5,37,11,4,6,14,60,96,2,6,103,13,4,228,123,3
10010,10010 - Madison Square/Cooper Village,16751,1194,27,3440,0,305,494,975,382,607,213,853,518,349,1514,3543,2594,1564,1208,1633,1183,1218,422,516,219,702,899,458,261,378,10010,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,5,7,10,27,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,6,6,9,10,45,10010,5,4,1,0,36,27,79,0,0,0,0,14,16,1,0,0,4,1,17,0,0,29,39,8,3,121,5,6,53,45,0,0,4,16,4,35,53,2
10011,10011 - Chelsea,41861,3177,106,5794,2,1736,1566,1812,1855,1429,645,548,498,581,2468,6846,7365,4737,4538,3836,2592,3563,1688,1860,1155,1457,1780,1352,817,820,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011,125,88,85,111,192,73,132,15,0,0,1,25,21,0,2,0,3,5,43,0,0,93,75,27,10,83,12,10,182,199,5,4,13,38,7,138,261,4
10012,10012 - Village/Noho/Soho,17980,632,39,4235,11,359,996,776,570,575,301,723,305,296,1735,4191,2950,2014,1601,1316,1507,939,510,884,454,727,727,542,262,347,10012,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,6,7,5,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,4,4,7,25,10012,13,16,16,14,243,17,60,4,0,0,1,17,10,0,2,1,0,2,51,1,0,77,62,11,1,77,2,1,122,133,0,0,12,14,2,37,146,7
10013,10013 - Tribeca/Chinatown,16247,1446,42,8148,0,561,1376,1407,1251,977,462,582,652,559,969,3123,2932,2619,2240,1712,1385,1390,835,889,630,699,835,528,392,755,10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10013,37,8,7,6,234,3,71,14,1,0,3,45,22,0,0,0,0,0,58,0,0,152,124,17,0,180,5,13,256,178,5,9,23,11,10,26,117,12
10014,10014 - Greenwich Village,27509,571,81,2081,2,616,644,954,856,570,184,277,147,178,907,5067,4998,3315,1796,2254,2104,1722,852,920,829,984,1076,460,524,532,10014,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,7,8,8,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,6,10,20,10014,214,191,113,82,188,67,79,4,1,3,1,29,13,0,1,2,2,5,59,3,0,56,16,21,0,52,3,16,105,247,10,1,20,17,5,149,180,6
10016,10016 - Murray Hill,36788,1935,37,9517,0,451,1844,2102,996,935,433,1062,635,768,3493,9379,6897,3017,2676,2648,2804,2815,1044,1384,991,1162,1851,1140,1211,1131,10016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016,47,31,26,24,105,88,168,0,0,0,0,20,39,1,6,1,1,5,11,0,0,47,20,34,4,205,10,6,75,182,2,7,45,11,17,68,103,4
10017,10017 - Grand Central/United Nations,13092,444,4,3874,6,84,418,752,363,185,163,117,80,50,894,3075,2183,1741,1254,892,1112,1201,350,405,459,494,751,590,336,475,10017,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,14,10017,22,10,4,3,19,3,32,0,0,0,0,5,22,0,0,0,0,0,17,1,0,36,0,9,1,165,3,10,39,28,4,9,8,2,9,5,26,1
10018,10018 - Garment District,4329,572,1,2289,0,201,296,343,76,104,50,146,186,138,651,1395,1300,898,588,415,431,433,117,133,92,69,54,58,10,1,10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10018,0,0,0,0,24,0,14,14,0,2,0,44,36,0,2,0,0,1,25,2,0,43,77,9,2,187,5,1,15,29,6,17,28,3,3,26,21,2
10019,10019 - Midtown/Clinton,27691,2276,201,6451,56,1659,1245,1333,676,612,343,352,199,268,2225,5532,5481,3589,3300,2681,2355,2665,622,1445,887,874,1524,1239,675,701,10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019,4,4,4,13,165,5,112,13,0,0,1,35,44,2,2,1,1,21,15,1,0,58,8,19,3,135,13,4,80,65,9,6,37,14,6,122,76,5
10020,10020 - Rockefeller Center,140,4,1,39,0,9,0,6,0,2,0,1,0,0,5,21,19,18,10,13,17,16,2,6,10,8,10,11,13,4,10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
10021,10021 - Lenox Hill,85114,2009,330,8503,105,1791,2626,6099,4269,3102,1522,500,323,148,2849,10314,11835,9979,6202,5323,5850,5438,2678,3225,2776,3461,4688,3568,3025,3303,10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021,189,59,16,5,151,80,114,0,0,0,1,10,7,5,6,1,4,0,6,2,0,30,0,19,3,42,7,0,64,76,6,6,2,23,8,70,171,5
10022,10022 - Sutton Place/Beekman Place,27573,602,61,3592,0,222,395,1603,640,326,288,359,111,119,1179,4539,2518,2215,2540,1784,2065,1656,1011,1050,1204,1323,1743,1516,1395,1261,10022,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,9,16,18,41,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,10,12,16,55,10022,48,22,16,10,102,36,88,0,0,0,0,8,25,0,0,0,0,1,22,2,0,122,5,15,1,170,8,5,71,103,9,5,32,8,12,27,124,3
10023,10023 - Lincoln Center/Ansonia,52752,2384,109,7469,18,1109,1480,4244,2315,1739,607,820,285,507,1657,5732,7020,5963,5111,4612,4223,4391,1720,2250,1516,2141,2987,1977,1312,2193,10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023,61,30,21,31,186,331,125,0,0,0,0,2,11,0,2,1,0,6,7,0,0,6,0,30,1,26,8,8,86,36,0,2,4,26,1,26,184,0
10024,10024 - Upper West Side,48042,2735,198,4117,0,1730,1492,3247,2264,2472,1336,301,341,172,953,5267,5160,4406,4934,4560,4302,3852,2062,1948,1443,2222,2685,1581,1017,1790,10024,0,0,0,0,0,0,0,0,0,0,3,4,6,8,15,19,23,24,25,63,0,0,0,0,0,0,0,0,0,0,0,4,3,4,9,11,12,23,29,118,10024,109,113,54,99,237,378,159,2,0,0,0,12,16,0,0,1,2,2,8,0,0,11,0,28,3,5,6,5,83,28,0,0,10,35,4,23,328,0
10025,10025 - Cathedral,62101,12080,651,8931,18,7130,4084,4530,3723,4336,2113,2712,1486,1124,4225,9793,6696,5752,6413,6648,7018,5398,2127,4191,2102,3114,4252,2132,2320,2789,10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025,59,57,42,53,221,147,271,1,0,0,0,16,46,3,4,2,2,2,17,0,0,11,1,36,12,9,2,9,91,11,0,6,31,40,3,144,245,2
10026,"10026 - Central Harlem, South",9242,20796,51,1845,31,3745,1253,2937,1866,1851,988,464,514,654,1999,4061,3776,2496,2727,2449,2941,2310,639,986,605,800,545,512,360,484,10026,2,0,0,0,0,0,0,2,2,2,2,5,9,7,18,11,8,8,7,14,2,0,0,0,0,0,0,0,0,0,2,5,6,5,11,9,12,12,14,30,10026,11,69,122,58,175,74,108,0,0,0,0,9,3,0,2,0,1,0,7,0,0,6,2,25,4,6,5,6,73,13,0,0,44,8,2,147,48,4
10027,10027 - Manhattanville,19699,27040,269,6311,22,9465,2320,3694,3240,2967,1972,3425,1691,1792,5065,7327,5286,4375,4049,3302,4224,3445,1158,1739,996,980,1639,1203,890,667,10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10027,55,214,269,225,270,205,156,18,3,0,3,44,6,0,5,4,3,2,47,1,0,37,11,106,13,26,13,23,65,66,4,1,143,40,6,117,58,2
10028,10028 - Yorkville,41830,696,48,4033,103,437,1005,1944,1979,1817,845,410,121,147,1160,6965,4851,3635,3438,2955,2594,3026,1032,1551,1393,1620,2503,1673,1066,1426,10028,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,10,10,11,18,43,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,7,11,13,17,60,10028,109,44,19,16,341,45,134,0,0,0,1,6,1,0,1,1,1,0,13,0,0,18,3,15,2,11,6,1,50,97,3,0,3,14,4,57,188,3
10029,"10029 - East Harlem, South",26767,23058,190,6640,111,19506,2040,3849,4015,4786,3185,2138,1208,1239,4433,8097,6927,5472,5253,4730,4298,4230,1844,2736,1174,1622,2231,2073,1364,1410,10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10029,22,14,71,63,402,22,132,11,0,3,1,68,4,5,6,1,7,0,67,0,1,57,9,56,12,17,8,19,43,182,1,4,126,30,4,111,39,0
10030,"10030 - Central Harlem, Middle",5204,18549,97,673,74,3116,1799,2059,1310,1442,765,862,280,808,1449,3376,2901,2378,2040,2038,2113,1655,592,849,424,393,764,374,208,433,10030,0,0,0,0,0,0,0,0,0,0,3,6,8,13,11,13,10,9,7,10,0,0,0,0,0,0,0,0,2,0,3,5,5,9,8,11,7,10,11,27,10030,87,124,91,92,231,84,66,0,0,0,0,11,1,0,0,1,0,2,9,0,0,4,0,32,4,7,4,14,40,45,0,1,52,9,4,101,15,0
10031,10031 - Hamilton Heights,17295,19765,245,2236,2,10608,10284,2928,2813,2599,2104,1381,990,1170,4041,7007,6350,4305,4300,3965,4208,3058,1180,1596,888,1032,1599,1174,824,922,10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10031,108,215,112,148,294,125,206,3,0,0,0,11,5,0,3,4,1,2,21,0,0,5,1,44,6,8,7,12,31,39,0,6,32,18,4,40,101,2
10032,10032 - South Washington Heights,20951,11974,786,2510,66,22243,5654,3346,2651,2384,1787,1154,809,951,3937,9061,6356,4758,3782,4096,3682,4180,1701,1947,1032,1347,1662,1441,752,1368,10032,0,0,0,0,0,0,3,3,2,0,4,7,11,11,15,21,16,21,21,28,0,0,0,0,0,0,0,0,0,0,2,3,7,8,9,12,14,19,24,75,10032,33,89,54,34,297,20,183,1,0,0,0,29,1,15,9,0,4,0,21,0,0,8,0,23,5,5,10,7,8,16,0,1,33,10,7,44,50,1
10033,10033 - Washington Heights,23941,6171,595,1585,55,23030,4223,3531,2821,2475,1646,1533,962,670,3895,6792,5115,4320,4181,4014,3572,3627,1468,1686,1145,1340,1817,1156,888,947,10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10033,10,27,12,14,263,20,159,1,0,0,0,34,2,0,2,0,3,0,37,0,0,20,0,29,2,10,2,8,5,16,3,1,28,20,2,3,47,1
10034,10034 - Inwood,17104,3995,206,856,59,18607,2425,2861,2043,2374,1290,1273,548,743,2039,3693,4225,3399,2772,3372,2497,2151,1256,1548,834,937,1242,1008,499,652,10034,0,0,0,0,0,0,0,0,0,0,3,3,4,7,8,7,8,9,7,12,0,0,0,0,0,0,0,0,0,0,2,0,5,4,5,8,10,8,12,34,10034,9,11,9,18,200,0,67,5,1,0,2,48,0,2,0,0,1,0,44,0,0,6,0,11,0,9,3,17,3,1,2,13,20,10,5,4,36,3
10035,"10035 - East Harlem, Middle",7734,15558,282,2011,41,8927,1494,2308,2097,2385,1132,881,426,473,1865,3335,3179,2491,2397,2135,2863,2129,818,924,465,891,1050,730,519,556,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10035,20,48,206,81,122,76,88,27,3,0,6,87,3,2,3,5,8,0,30,1,1,37,23,52,7,36,2,37,34,90,9,5,154,20,9,148,20,16
10036,10036 - Theatre District/Clinton,15851,1838,113,4168,0,1438,479,650,335,136,282,150,308,362,1496,3720,3428,2044,1978,1659,1727,1684,825,642,438,537,712,311,278,183,10036,0,0,0,0,0,0,0,0,0,2,0,4,5,5,11,8,9,11,8,14,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,4,4,7,5,21,10036,8,9,9,16,128,8,53,13,0,0,2,63,58,0,0,3,6,37,14,2,0,96,17,16,5,130,5,5,48,80,6,3,27,7,7,107,57,3
10037,"10037 - East Harlem, North",2346,14924,33,577,23,1599,1033,1379,1219,1105,673,360,135,207,797,2002,2117,1395,1121,1399,1342,1389,505,667,296,375,593,493,350,617,10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10037,6,15,24,43,57,15,35,4,0,0,0,10,0,2,1,2,0,0,10,0,0,8,2,18,6,0,7,9,11,17,0,0,24,3,1,28,22,2
10038,10038 - South St. Seaport/Chinatown,10764,2078,57,7677,0,970,636,801,546,673,405,1198,277,288,1288,3101,2410,1700,1278,1278,1239,1289,602,623,387,464,624,646,463,603,10038,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,3,6,7,13,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,4,9,12,47,10038,3,2,3,5,28,0,37,1,0,0,0,15,13,1,0,0,0,0,8,2,0,40,18,11,1,46,0,6,48,21,4,6,9,9,4,3,10,11
