MapID,area,cholesterol,insurance,colonoscopy,mammagrophy,older_men,older_women,pap_smear,high_bp,dentist,doctor,borough
11361,11361 - Bayside,80,11.8,66.9,77.6,31.8,29.2,79.6,76.4,69.1,76.4,81
11362,11362 - Little Neck,82.7,9.8,69.4,78,33.4,30.5,79.8,79.3,72,78.3,81
11363,11363 - Douglaston,83.7,9,70.9,78.8,34.1,31.9,81.6,78.4,74,78.4,81
11364,11364 - Oakland Gardens/Bayside Hill,81.2,11,66.4,77.6,31.8,29.2,77.5,77.7,69.5,77.4,81
11365,11365 - Fresh Meadows,78.3,14.1,63.3,76.4,29.9,26.9,75.8,76.9,64.6,76.3,81
11366,11366 - Utopia/Fresh Meadows,78.7,12.7,65.1,77.2,30.6,27.6,76.6,77.7,66.8,76.8,81
11367,11367 - Kew Garden Hills,76.6,15.3,64.1,76.2,30.2,26.3,78.6,75.4,63.9,75.1,81
11368,11368 - Corona,69.2,36.1,51.1,72.1,22.7,18.4,75.6,68.1,46.2,69.4,81
11369,11369 - East Elmhurst,74.5,26.2,59.1,76.3,24.9,21.3,80.3,73.8,55.7,73.9,81
11370,11370 - Jackson Heights-Rikers Island(Queens only),75.9,21.7,59.6,74.3,28.4,24.8,77.4,73.4,59.1,73.2,81
11372,11372 - Jackson Heights,74.8,25.2,57.5,73.9,26.7,22.4,76.6,73.2,56.4,72.6,81
11373,11373 - Elmhurst,72.8,24.8,54.6,72.9,25.2,22.3,70.4,72.4,53.8,72.2,81
11374,11374 - Rego Park,80.2,11.9,67.5,77.3,32.2,28.7,80.1,77,69.4,76.5,81
11375,11375 - Forest Hills,81.5,10.1,70.1,78.3,33.7,30.1,82.1,77.3,72.4,77.2,81
11377,11377 - Woodside,74.6,21.5,58.4,74.2,27.3,23.9,74.3,72.3,57.7,72.7,81
11378,11378 - Maspeth,78.9,16.1,64.4,75.4,31.1,27.1,81.1,74,64.4,73.9,81
11379,11379 - Middle Village,82.1,13,68.1,75.8,32.5,28.8,82.8,77.1,67.7,75.8,81
11385,11385 - Ridgewood/Glendale,75.3,21.7,60,74,28.8,24.7,79.9,71.5,59,72,81
11411,11411 - Cambria Heights,83.9,12.6,73.4,83.1,25.7,26,87.8,80.7,63.5,84,81
11412,11412 - St. Albans,81.4,14.9,69.4,82.1,24.4,23.9,86.3,78.8,59.4,82.6,81
