MapID.x,Area Name,Male population,Female population,White alone persons,Black or African-American alone persons,Native American alone persons,Asian alone persons,Pacific Islander alone persons,Other race alone persons,Not Hispanic or Latino persons,Hispanic or Latino persons,Asian Indian persons,Bangladeshi persons,Bhutanese persons,Burmese persons,Cambodian persons,"Chinese persons, except Taiwanese",Filipino persons,Hmong persons,Indonesian persons,Japanese persons,Korean persons,Laotian persons,Malaysian persons,Mongolian persons,Nepalese persons,Okinawan persons,Pakistani persons,Sri Lankan persons,Taiwanese persons,Thai persons,Vietnamese persons,"Other Asian persons, specified","Other Asian persons, not specified",Persons of two or more Asian origins,Mexican persons,Puerto Rican persons,Cuban persons,Dominican (Dominican Republic) persons,Costa Rican persons,Guatemalan persons,Honduran persons,Nicaraguan persons,Panamanian persons,Salvadoran persons,Other Central American persons,Argentinean persons,Bolivian persons,Chilean persons,Colombian persons,Ecuadorian persons,Paraguayan persons,Peruvian persons,Uruguayan persons,Venezuelan persons,Other South American persons,Spaniard persons,Spanish persons,Spanish American persons,All other Hispanic or Latino persons,Persons of two or more race,Persons under 5 years,Persons 5-9 years,Persons 10-14 years,Persons 15-17 years,Persons 18 and 19 years,Persons 20 years,Persons 21 years,Persons 22-24 years,Persons 25-29 years,Persons 30-34 years,Persons 35-39 years,Persons 40-44 years,Persons 45-49 years,Persons 50-54 years,Persons 55-59 years,Persons 60 and 61 years,Persons 62-64 years,Persons 65 and 66 years,Persons 67-69 years,Persons 70-74 years,Persons 75-79 years,Persons 80-84 years,Persons 85 years and over,MapID.y,Male age at death under 28 days - 2011-13 Avg,Male age at death 1-12 months - 2011-13 Avg,Male age at death 1-4 years - 2011-13 Avg,Male age at death 5-9 years - 2011-13 Avg,Male age at death 10-14 years - 2011-13 Avg,Male age at death 15-19 years - 2011-13 Avg,Male age at death 20-24 years - 2011-13 Avg,Male age at death 25-29 years - 2011-13 Avg,Male age at death 30-34 years - 2011-13 Avg,Male age at death 35-39 years - 2011-13 Avg,Male age at death 40-44 years - 2011-13 Avg,Male age at death 45-49 years - 2011-13 Avg,Male age at death 50-54 years - 2011-13 Avg,Male age at death 55-59 years - 2011-13 Avg,Male age at death 60-64 years - 2011-13 Avg,Male age at death 65-69 years - 2011-13 Avg,Male age at death 70-74 years - 2011-13 Avg,Male age at death 75-79 years - 2011-13 Avg,Male age at death 80-84 years - 2011-13 Avg,Male age at death 85+ years - 2011-13 Avg,Female age at death under 28 days - 2011-13 Avg,Female age at death 1-12 months - 2011-13 Avg,Female age at death 1-4 years - 2011-13 Avg,Female age at death 5-9 years - 2011-13 Avg,Female age at death 10-14 years - 2011-13 Avg,Female age at death 15-19 years - 2011-13 Avg,Female age at death 20-24 years - 2011-13 Avg,Female age at death 25-29 years - 2011-13 Avg,Female age at death 30-34 years - 2011-13 Avg,Female age at death 35-39 years - 2011-13 Avg,Female age at death 40-44 years - 2011-13 Avg,Female age at death 45-49 years - 2011-13 Avg,Female age at death 50-54 years - 2011-13 Avg,Female age at death 55-59 years - 2011-13 Avg,Female age at death 60-64 years - 2011-13 Avg,Female age at death 65-69 years - 2011-13 Avg,Female age at death 70-74 years - 2011-13 Avg,Female age at death 75-79 years - 2011-13 Avg,Female age at death 80-84 years - 2011-13 Avg,Female age at death 85+ years - 2011-13 Avg,MapID,One-family dwellings,Two-family dwellings,Three-family dwellings,4-6 family dwellings,Over 6 family dwellings,Misc. walkups,Elevator apartments,Old-law Tenements,Cooperatives,Condominium buildings,Multi-use residences,Warehouses,Heavy manufacture,Light manufacture,Other industrial,Garages & gas stations,Hotels,Hospitals,Health centers & clinics,Nursing homes,Misc. health facilities,Theatres,1- and 2-story store bldgs,Department stores,Shopping centers,Misc. store buildings,Loft buildings,Religious buildings,Asylums and homes,Office buildings,Places of public assembly,Outdoor rec facilities,Transportation facilities,Utility properties,Vacant land,Schools,Government installations,Miscellaneous,borough,total_pop
10012,10012 - Village/Noho/Soho,12294,11958,17980,632,39,4235,11,359,22819,1433,513,0,0,20,0,2772,135,0,0,236,286,0,7,0,0,0,24,41,123,10,26,0,3,38,336,305,90,227,0,11,76,10,0,5,0,14,13,27,45,35,0,48,0,33,0,72,9,0,78,996,776,570,575,301,723,305,296,1735,4191,2950,2014,1601,1316,1507,939,510,884,454,727,727,542,262,347,10012,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,6,7,5,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,4,4,7,25,10012,13,16,16,14,243,17,60,4,0,0,1,17,10,0,2,1,0,2,51,1,0,77,62,11,1,77,2,1,122,133,0,0,12,14,2,37,146,7,Manhattan,24252
10013,10013 - Tribeca/Chinatown,14089,13731,16247,1446,42,8148,0,561,25601,2219,563,17,0,59,0,6452,90,0,0,196,304,0,64,0,0,0,92,0,19,4,130,0,65,93,422,484,114,360,1,10,9,6,6,77,0,32,0,9,78,168,0,107,9,6,0,219,0,0,101,1376,1407,1251,977,462,582,652,559,969,3123,2932,2619,2240,1712,1385,1390,835,889,630,699,835,528,392,755,10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10013,37,8,7,6,234,3,71,14,1,0,3,45,22,0,0,0,0,0,58,0,0,152,124,17,0,180,5,13,256,178,5,9,23,11,10,26,117,12,Manhattan,27823
10014,10014 - Greenwich Village,16120,15385,27509,571,81,2081,2,616,29132,2373,507,0,0,0,0,708,74,0,0,146,264,0,35,0,0,0,73,0,21,87,115,4,9,37,358,467,307,129,6,41,29,18,1,37,0,59,3,21,146,11,0,80,51,4,0,450,123,0,31,644,954,856,570,184,277,147,178,907,5067,4998,3315,1796,2254,2104,1722,852,920,829,984,1076,460,524,532,10014,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,7,8,8,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,6,10,20,10014,214,191,113,82,188,67,79,4,1,3,1,29,13,0,1,2,2,5,59,3,0,56,16,21,0,52,3,16,105,247,10,1,20,17,5,149,180,6,Manhattan,31506
10016,10016 - Murray Hill,23350,27222,36788,1935,37,9517,0,451,45900,4672,1616,2,22,0,25,3648,410,0,2,1264,1648,0,177,25,15,0,163,0,336,27,26,10,32,40,234,1463,364,821,48,84,5,37,7,8,0,212,4,27,217,36,6,45,3,40,0,676,172,0,163,1844,2102,996,935,433,1062,635,768,3493,9379,6897,3017,2676,2648,2804,2815,1044,1384,991,1162,1851,1140,1211,1131,10016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10016,47,31,26,24,105,88,168,0,0,0,0,20,39,1,6,1,1,5,11,0,0,47,20,34,4,205,10,6,75,182,2,7,45,11,17,68,103,4,Manhattan,50574
10017,10017 - Grand Central/United Nations,8622,9300,13092,444,4,3874,6,84,16649,1273,548,57,0,0,0,1538,265,0,0,551,280,0,125,0,0,0,236,0,23,23,92,15,39,81,97,560,81,20,1,22,0,0,4,0,0,107,4,2,167,0,4,7,29,5,0,53,79,0,30,418,752,363,185,163,117,80,50,894,3075,2183,1741,1254,892,1112,1201,350,405,459,494,751,590,336,475,10017,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,7,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,14,10017,22,10,4,3,19,3,32,0,0,0,0,5,22,0,0,0,0,0,17,1,0,36,0,9,1,165,3,10,39,28,4,9,8,2,9,5,26,1,Manhattan,17922
10018,10018 - Garment District,3865,3824,4329,572,1,2289,0,201,6520,1168,298,50,0,18,0,637,71,0,0,134,863,0,9,0,0,0,48,6,58,7,25,10,13,43,279,250,78,127,0,31,54,6,8,3,0,19,9,6,102,45,0,15,0,23,0,53,21,0,38,296,343,76,104,50,146,186,138,651,1395,1300,898,588,415,431,433,117,133,92,69,54,58,10,1,10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10018,0,0,0,0,24,0,14,14,0,2,0,44,36,0,2,0,0,1,25,2,0,43,77,9,2,187,5,1,15,29,6,17,28,3,3,26,21,2,Manhattan,7688
10019,10019 - Midtown/Clinton,20095,19482,27691,2276,201,6451,56,1659,33067,6511,1143,6,0,0,0,2790,556,0,34,610,735,0,0,0,0,0,38,5,73,123,99,17,56,167,1165,2136,313,666,35,74,8,14,3,231,0,142,49,55,343,336,191,138,18,110,0,208,176,0,99,1245,1333,676,612,343,352,199,268,2225,5532,5481,3589,3300,2681,2355,2665,622,1445,887,874,1524,1239,675,701,10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10019,4,4,4,13,165,5,112,13,0,0,1,35,44,2,2,1,1,21,15,1,0,58,8,19,3,135,13,4,80,65,9,6,37,14,6,122,76,5,Manhattan,39578
10020,10020 - Rockefeller Center,92,102,140,4,1,39,0,9,179,15,8,0,0,0,0,11,2,0,0,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,6,0,2,0,1,0,0,5,21,19,18,10,13,17,16,2,6,10,8,10,11,13,4,10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,Manhattan,192
10021,10021 - Lenox Hill,44313,56164,85114,2009,330,8503,105,1791,93009,7469,2556,21,0,22,0,2138,1122,0,0,706,1141,0,42,0,10,0,4,0,287,6,140,0,97,213,1179,1040,299,854,0,48,22,0,52,220,0,1578,0,145,371,194,0,152,0,234,0,741,52,0,288,2626,6099,4269,3102,1522,500,323,148,2849,10314,11835,9979,6202,5323,5850,5438,2678,3225,2776,3461,4688,3568,3025,3303,10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10021,189,59,16,5,151,80,114,0,0,0,1,10,7,5,6,1,4,0,6,2,0,30,0,19,3,42,7,0,64,76,6,6,2,23,8,70,171,5,Manhattan,100477
10022,10022 - Sutton Place/Beekman Place,14550,17896,27573,602,61,3592,0,222,30526,1920,649,6,0,4,0,1433,209,0,0,242,595,0,0,0,0,0,46,0,38,116,0,0,235,18,119,438,146,147,5,0,0,0,22,20,0,256,26,26,296,1,20,88,11,66,0,122,109,0,2,395,1603,640,326,288,359,111,119,1179,4539,2518,2215,2540,1784,2065,1656,1011,1050,1204,1323,1743,1516,1395,1261,10022,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,9,16,18,41,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,10,12,16,55,10022,48,22,16,10,102,36,88,0,0,0,0,8,25,0,0,0,0,1,22,2,0,122,5,15,1,170,8,5,71,103,9,5,32,8,12,27,124,3,Manhattan,32445
10023,10023 - Lincoln Center/Ansonia,29917,35405,52752,2384,109,7469,18,1109,59111,6211,1218,5,0,0,0,3081,340,0,0,819,779,0,0,0,0,0,67,87,303,225,72,19,164,290,767,2175,463,425,26,0,0,151,25,0,0,207,49,76,116,121,0,239,0,42,0,565,152,0,610,1480,4244,2315,1739,607,820,285,507,1657,5732,7020,5963,5111,4612,4223,4391,1720,2250,1516,2141,2987,1977,1312,2193,10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10023,61,30,21,31,186,331,125,0,0,0,0,2,11,0,2,1,0,6,7,0,0,6,0,30,1,26,8,8,86,36,0,2,4,26,1,26,184,0,Manhattan,65322
10024,10024 - Upper West Side,26605,31709,48042,2735,198,4117,0,1730,51721,6593,949,27,0,0,0,1588,298,0,35,221,605,0,0,0,0,0,15,28,62,0,78,0,22,181,845,1516,433,2218,5,83,56,34,24,4,9,57,0,56,122,293,0,101,0,45,0,353,92,0,245,1492,3247,2264,2472,1336,301,341,172,953,5267,5160,4406,4934,4560,4302,3852,2062,1948,1443,2222,2685,1581,1017,1790,10024,0,0,0,0,0,0,0,0,0,0,3,4,6,8,15,19,23,24,25,63,0,0,0,0,0,0,0,0,0,0,0,4,3,4,9,11,12,23,29,118,10024,109,113,54,99,237,378,159,2,0,0,0,12,16,0,0,1,2,2,8,0,0,11,0,28,3,5,6,5,83,28,0,0,10,35,4,23,328,0,Manhattan,58315
10025,10025 - Cathedral,41868,53126,62101,12080,651,8931,18,7130,73749,21245,1508,31,0,0,0,4073,555,0,2,598,1418,0,22,0,19,0,76,113,96,137,109,15,51,109,1352,6412,1037,7535,45,234,333,130,149,14,29,119,37,120,460,1007,0,378,103,268,0,463,30,51,939,4084,4530,3723,4336,2113,2712,1486,1124,4225,9793,6696,5752,6413,6648,7018,5398,2127,4191,2102,3114,4252,2132,2320,2789,10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10025,59,57,42,53,221,147,271,1,0,0,0,16,46,3,4,2,2,2,17,0,0,11,1,36,12,9,2,9,91,11,0,6,31,40,3,144,245,2,Manhattan,94994
10026,"10026 - Central Harlem, South",17382,19581,9242,20796,51,1845,31,3745,29062,7901,316,111,0,0,0,893,118,12,0,117,208,0,0,0,0,0,12,0,23,0,6,0,0,28,801,3053,119,2591,13,46,163,0,48,232,20,34,0,13,206,82,0,79,87,18,17,80,14,2,183,1253,2937,1866,1851,988,464,514,654,1999,4061,3776,2496,2727,2449,2941,2310,639,986,605,800,545,512,360,484,10026,2,0,0,0,0,0,0,2,2,2,2,5,9,7,18,11,8,8,7,14,2,0,0,0,0,0,0,0,0,0,2,5,6,5,11,9,12,12,14,30,10026,11,69,122,58,175,74,108,0,0,0,0,9,3,0,2,0,1,0,7,0,0,6,2,25,4,6,5,6,73,13,0,0,44,8,2,147,48,4,Manhattan,36964
10027,10027 - Manhattanville,30256,34869,19699,27040,269,6311,22,9465,49039,16087,1374,70,0,32,0,3254,147,0,2,234,552,0,43,0,7,0,35,14,175,41,70,3,79,152,1107,5462,374,5414,72,114,289,49,178,164,0,102,0,98,260,1093,0,206,18,218,0,316,15,31,507,2320,3694,3240,2967,1972,3425,1691,1792,5065,7327,5286,4375,4049,3302,4224,3445,1158,1739,996,980,1639,1203,890,667,10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10027,55,214,269,225,270,205,156,18,3,0,3,44,6,0,5,4,3,2,47,1,0,37,11,106,13,26,13,23,65,66,4,1,143,40,6,117,58,2,Manhattan,65126
10028,10028 - Yorkville,21126,27024,41830,696,48,4033,103,437,44901,3249,853,0,0,0,0,1435,370,0,0,527,469,0,1,0,0,0,17,0,87,36,83,0,28,127,508,601,227,181,12,43,0,20,48,102,0,309,39,140,153,170,0,138,3,201,0,209,48,0,99,1005,1944,1979,1817,845,410,121,147,1160,6965,4851,3635,3438,2955,2594,3026,1032,1551,1393,1620,2503,1673,1066,1426,10028,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,10,10,11,18,43,0,0,0,0,0,0,0,0,0,0,0,2,0,3,6,7,11,13,17,60,10028,109,44,19,16,341,45,134,0,0,0,1,6,1,0,1,1,1,0,13,0,0,18,3,15,2,11,6,1,50,97,3,0,3,14,4,57,188,3,Manhattan,48151
